sasdate,UNRATE,INDPRO,FEDFUNDS,S&P 500,PAYEMS,RPI,AVGEARN,HOUST,CUMFNS,REALLN,BUSLOANS,PCEPI,RCON
01/01/1959,,,,,,,,,,,,,
02/01/1959,-0.09999999999999964,0.019386249102571362,-0.04999999999999982,-0.015400250010188188,0.0030483181659910485,0.004660088067623747,0.004376374599798893,0.006016865324231624,1.2000000000000028,,,0.00046565774997420206,0.009806492709140358
03/01/1959,-0.3000000000000007,0.014311008425620386,0.36999999999999966,0.025062160921924814,0.005974356562555627,0.007971906227853154,0.008695706967553951,-0.02859945452436463,1.0999999999999943,,,0.000465441013755008,-0.003330681523773471
04/01/1959,-0.39999999999999947,0.02108968010406498,0.16000000000000014,0.016599356944409394,0.004697457112134984,0.005937499252456568,0.004319661144516318,-0.018692133012152112,1.5,,,0.001859600721852761,0.01189589025545068
05/01/1959,-0.10000000000000053,0.014927890562846269,-0.06000000000000005,0.014949000790516642,0.005443262872091736,0.0067098817224255924,0.0,-0.0596031311371128,0.9000000000000057,,,0.0004643603519709494,0.004005441303907453
06/01/1959,-0.09999999999999964,0.001164097211739712,0.4900000000000002,-0.008664063901338004,0.0030278699095003248,0.003912548144159977,0.004301081899390713,0.00333222567580993,-0.10000000000000853,,,0.0027816429618767735,-0.003002575890342918
07/01/1959,0.09999999999999964,-0.02423614211354863,0.08000000000000007,0.038912759236820804,0.0014732349490156338,-0.0014941672798780559,0.0,0.028854460820091354,-1.7999999999999972,,,0.0023121397583794057,0.006209648446371396
08/01/1959,0.10000000000000053,-0.03448958029089466,0.029999999999999805,-0.005707586419364752,-0.008289485451321355,-0.00559417820389374,-0.008620743043907031,-0.07864312731911305,-3.5,,,0.0009233610997689823,0.009912287332785041
09/01/1959,0.2999999999999998,-0.0012058225456925697,0.2599999999999998,-0.040366150060514805,0.0006949857995479647,0.00023130746648014622,0.008620743043907031,0.07410797215372167,-0.5,,,0.00276497872007031,-0.00650270880594217
10/01/1959,0.20000000000000018,-0.007294567210868408,0.2200000000000002,-0.0008768084735342185,-0.0011460457981744554,0.0022524483230208503,-0.004301081899390713,-0.127980962093873,-0.7999999999999972,,,0.002298323236476385,-0.0004965067307729498
11/01/1959,0.09999999999999964,0.006087288901594601,0.020000000000000018,0.004026968586460455,0.005866658501988198,0.007643495734102501,0.004301081899390713,0.044034540939863476,0.29999999999999716,,,0.0009178522902288933,-0.0005677382879056836
12/01/1959,-0.5,0.05997472604766996,-0.009999999999999787,0.03147563989476598,0.009874649039092631,0.010479052551886525,0.012793351459909452,0.12279243874304946,5.099999999999994,,,0.0013752007668088595,0.0026230917879699334
01/01/1960,-0.09999999999999964,0.025935895770398787,0.0,-0.017593758113259916,0.002679604282960213,0.0038450711777899826,0.004228336109521114,-0.09219199829433222,2.0,,,-0.000458190156927607,0.0038865186892813597
02/01/1960,-0.40000000000000036,-0.008934667121998974,-0.020000000000000018,-0.03954473600317421,0.0042173563185272656,-0.0005080583811896133,0.004210532536343514,0.02902667505059231,-1.0,,,0.0009161704717794983,0.013589449813673049
03/01/1960,0.6000000000000005,-0.009042088303831353,-0.13000000000000034,-0.01371862670291435,-0.0023366860983067284,0.0006209251984650166,0.004192878260036004,-0.3040044024026072,-1.3999999999999915,,,0.0009153318716883518,0.01519051511651437
04/01/1960,-0.20000000000000018,-0.00795914034456846,0.08000000000000007,0.012821846085016908,0.006371611974582692,0.0036050284072111083,-0.004192878260036004,0.15040801558881967,-0.9000000000000057,,,0.0036529720986915315,-0.020282424419747258
05/01/1960,-0.10000000000000053,-0.001138334901759741,-0.06999999999999984,-0.009193395079436506,-0.004991019204972247,0.0021343526412955782,0.004192878260036004,-0.014062731749732826,-0.7999999999999972,,,0.000911161794245885,-0.00020981221883431544
06/01/1960,0.3000000000000007,-0.01263542401694151,-0.5300000000000002,0.03627709316796057,-0.0015832400810822378,0.0002804970425955844,0.0,-0.019063325509417695,-1.2999999999999972,,,0.0004552697551889473,0.001816911750700534
07/01/1960,0.09999999999999964,-0.0034939579129424914,-0.08999999999999986,-0.025111841215852415,-0.0011429626094496825,0.0004486316809204638,0.004175371410480522,-0.04092224012206369,-0.5,,,0.001819009141851513,-0.0009779268731300306
08/01/1960,0.09999999999999964,-0.0011581735245633773,-0.25,0.011927155187635208,-0.00029517027849479405,-0.0007291287235160482,0.004158010148663793,0.11583181552512212,-0.6000000000000085,,,0.0018157063544848029,0.004393159326674834
09/01/1960,-0.09999999999999964,-0.010512252352398388,-0.3799999999999999,-0.030544954583726636,-0.002493974191517978,0.0011215164075775164,0.0,-0.20307106080786497,-1.1999999999999886,,,0.0009066183757897583,0.0045817504656966435
10/01/1960,0.5999999999999996,-0.00117177705007121,-0.1299999999999999,-0.019901154317295333,-0.0014993755412078258,0.0027983004604328343,0.004140792666031401,0.1273592390721685,-0.4000000000000057,,,0.0009057971633810169,-0.003260608528933062
11/01/1960,0.0,-0.014226110763730926,-0.03000000000000025,0.03187082932641294,-0.002541108882192944,-0.003975925719196027,-0.004140792666031401,0.0,-1.7000000000000028,,,0.003615006196194148,-0.012375616783332433
12/01/1960,0.5,-0.01926930029124785,-0.45999999999999996,0.023693991659962776,-0.00498967727337174,-0.005739704013593361,0.004140792666031401,-0.15884332100545073,-1.5,,,0.0004509582940008805,0.002248771151458051
01/01/1961,0.0,0.0012116667668258252,-0.53,0.05013064694388358,-0.0008029054403380087,0.007813637662427375,0.004123717183862063,0.10695848563643917,-0.20000000000000284,,,0.0,0.003923222070042698
