error_17,error_25,error_40,error_45,error_48,error_51,error_61,error_74,error_76,error_79,error_96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1420575748217847,0.1592143898663412,0.1343957669854704,0.1905457243671512,0.1389014492254062,-0.0587071183556563,-0.2778673977206102,0.131102332782534,-0.0489370631158647,0.085935055753315,-0.0254178943116017
-0.1717584573128421,-0.1462654521916713,-0.1088566338902561,-0.0058530757109202,0.1144004484985366,0.0045220367934412,-0.2369502678767515,0.1428307100075502,-0.1196684978457313,0.0087336214110749,0.0088901908756195
-0.3147202404829488,0.1327450815237082,-0.1548892103493335,-0.0846310027722769,-0.0542140321213993,-0.0764198007897875,-0.2677984499268228,-0.1628088270171256,-0.0386777508773293,0.0790604351752262,0.0035598826576236
-0.1333481193555319,0.0412178821407563,0.1279768899244496,0.098418795984168,-0.2919174337426048,0.0234945398233789,-0.376288667702562,-0.1912422312537647,0.0562111462301735,-0.1660163845717842,0.0959517949991414
-0.1533464128339672,0.0611543681076345,0.0319512045431731,0.1604252907739678,-0.1856215616117759,0.0734709908980429,-0.3237721871364467,0.1169080078923356,-0.0251543837315168,-0.0685191267559989,0.0225140835684548
-0.2572633606912046,-0.1930349213953257,-0.0551295635466816,0.1467063069377987,-0.0558912265717815,-0.0108704647226459,-0.3812395688368702,0.0514749691771523,0.183089879991964,0.0112588893557727,-0.2187319957418138
-0.3598681122229433,0.0383675344957774,-0.2284236010582523,-0.0653064073351513,0.1535929047148283,0.1016050963235602,-0.3852117476311122,0.2776349879644288,-0.0286793394184049,-0.0640032861189463,-0.093785696305084
-0.3764839933054526,0.0423658191519503,-0.1186588770953654,-0.1149304232730608,0.1507269111609366,-0.0902280962672154,-0.2128084159138734,0.0179120901040881,-0.1724632700753752,-0.0973973375626675,-0.2409498335015915
-0.2302018402021196,-0.1657688284371802,0.0285519888848256,-0.2013641289731481,-0.0866732370897322,0.0261146803492431,-0.2322649710190948,-0.1240047928368156,-0.1041176843452728,0.0488399887758285,-0.1374402279048449
-0.1808931498175576,-0.1259767907811976,-0.106045036787803,-0.2318562841562501,-0.231788233688791,0.1699915668352275,-0.1428530780235498,-0.00865363227002,-0.193383840026433,0.0005534810461686,-0.3921894489104899
-0.0532083336708619,-0.1246971568018106,0.0938059556397765,-0.0030445272779753,0.0264559838385702,0.0266902988733458,-0.1789811860537146,0.0963181246881758,-0.0624046041103586,-0.1116550947792908,-0.2576705693331452
-0.2023323108772913,-0.0370083952728011,0.0488371855360286,-0.1104828093628446,0.0453338915652992,-0.0821054511799495,-0.036262176440205,0.0856521016111216,0.0341977665157314,-0.196296787626855,-0.1608720340488377
-0.1603513761580025,0.0792554604815506,0.103125890086911,-0.0468361569212551,0.0091358847132025,0.2270706870325166,0.1245330231196922,0.0523070934595877,-0.3302253670871552,-0.2838360366942427,-0.2865465734809597
-0.089910229466066,0.0139342294109586,-0.0381406316147815,0.1276981037207845,-0.0498006879882081,0.0007923015797993,0.0200604172477624,0.1336997179133267,-0.2738879476108425,-0.1884668380559573,-0.3415183196466498
0.0111739795578646,-0.0906383280833559,-0.0634915751631012,0.1457262204015302,-0.0743627970088608,-0.014560664053189,-0.0713605437194893,-0.0059239188066605,-0.4174131005728902,-0.072665934680928,-0.1892313302344337
0.0060426190628474,0.0474071249796026,0.1727104942327662,-0.0042750514938647,0.1111063148662121,0.2485586904709881,-0.144332803459869,-0.2482963586133868,-0.4407009628621536,-0.003876087516781,-0.3085565246272018
0.0851571789087192,-0.0373495568671832,-0.1448395594341355,-0.0235274308461197,-0.1903978713341588,-0.2178963600397378,-0.3432472111907413,0.0811513274237052,-0.3110540271285232,-0.0657384946422082,-0.3003982018275893
-0.0010527057498733,0.0307352600890632,-0.2697531879771794,-0.075837257162987,0.0546648845865869,0.0053600893546496,-0.3166070672405194,-0.0209419669046558,-0.0349904903344952,0.1124322567964441,-0.3222647697434113
-0.0698856695075822,0.0270195213948487,-0.139952971008518,0.142629299650129,0.0379422888376118,0.1042259683043826,-0.2810402332230992,0.2048516042946294,-0.1482045395219597,0.3427678192764667,-0.2824444313226365
-0.1814652157107809,0.0656214098185635,0.164211693023436,-0.0835211603611268,0.0885365460021431,0.0502526120573284,-0.4210439617205747,-0.0558379445061378,-0.1349132926195084,0.373253279760273,-0.3050266444938084
0.0954412238463061,-0.0230162848860306,-0.0131338015067093,0.0656036669063731,-0.0151493524444627,-0.0755024041463817,-0.3759127789980993,-0.0622482793267294,-0.1504555910524603,-0.0698755748170028,-0.4400962322822695
-0.1682253095359979,-0.0262119208403807,-0.1814675056299277,0.0119933360768358,-0.0084768436586977,0.0798679480601632,-0.2409433102163899,0.0296576136236231,-0.1599071131266169,0.0931596447679213,-0.7035231030062921
-0.0068179220909195,0.0320820058271467,-0.0351873021388407,-0.0193408370482102,0.020831742701838,0.006712118022597,-0.3011489978620987,-0.0078121576415983,-0.2199311789080496,-0.0037730627371446,-0.6867730753014714
0.0519448992476407,-0.0530118036255876,0.0803603083141345,-0.0779966881042461,0.0402260538775801,0.0462563651984623,-0.2586930750541549,0.0729331535681785,-0.17407264020329,-0.0421246919738332,-0.7537285269165145
0.0050484159923216,0.0277284122739717,0.1331860287871802,0.0743800909382266,0.1772339172403391,-0.0934284683364178,-0.328688664632088,0.0210990921284511,-0.1674501772126401,0.0002184107136031,-0.6074649091623723
0.1294990554846611,0.0272836510935689,-0.117399882770396,-0.0976805125838498,-0.177592394125294,0.2250448924915682,-0.4041037573512986,0.0653212595095394,-0.0516741295573823,-0.1041874044603185,-0.645433623743794
